BillingCity;BillingCountry;BillingPostalCode;BillingState;BillingStreet;CEP__c;Codigo_do_Cliente_SAP__c;CodigoClienteSAPRecebedor_DFV__c;Inscricao_Estadual__c;Inscricao_Municipal__c;Inscricao_SUFRAMA__c;Inscricao_INSS_CEI__c;RNE__c;UFCapex__c;Data_abertura_empresa__c;Data_Expedicao_RNE__c;Status_da_Conta__c;Caldeira__c;Corporativo__c;Cozinha_Industrial__c;Ecodriyer__c;Forno__c;Gerador_Eletrico__c;Key_Account__c;Orgao_Publico__c;SMG__c;TPC__c;Usina_de_Asfalto__c;Venda_Spot__c;Condicao_de_Pagamento__c;Escritorio_de_Vendas2__c;Grupo_Clientes2__c;Grupo_de_Contas2__c;Subsegmento__c;Estabelecimento_Unidade_de_Negocio_SHV__c;Consultor_Remunerado_pela_Prospec_o__c;OwnerId;Vendedor_VI__c;Name;Latitude__c;Longitude__c;Mesorregiao__c;BairroCapex__c;Cidade_Satelite__c;Complemento2__c;Nome_Fantasia_Apelido__c;Condicoes_de_abastecimento__c;Rua_n__c;Mes_de_Reajuste__c;Cidade__c;Pais__c;Regiao__c;Numero_do_Documento__c;Numero__c;Codigo_Parceiro_Negocio__c;RecordTypeId;Segmento__c;ShippingCity;ShippingCountry;ShippingPostalCode;ShippingState;ShippingStreet;Tipo__c;Ativacao_de_cliente__c;Inativacao_de_cliente__c;Dados_Adicionais__c;Politica_de_Relacionamento__c;Volume_Potencial__c;Phone;Email__c
RIO DE JANEIRO;BR;22760-401;RJ;AV GEREMARIO DANTAS 1400 FREGUESIA UNICO SS110;22760-401;0003992198;;ISENTO;ISENTO;;00000000000000000000;;RJ;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjAB8IAN;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000Bkuk9MAB;0052A000007uwcyQAA;0052A000007uwcyQAA;;48.919.268 MARCELA COSTA DO NASCIME;;;;FREGUESIA;;UNICO SS110;MARCELA DELIVERY;;AV GEREMARIO DANTAS;12 DEZEMBRO;RIO DE JANEIRO;BR;;48919268000158;1400;10428268.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;RIO DE JANEIRO;BR;22760-401;RJ;AV GEREMARIO DANTAS 1400 FREGUESIA UNICO SS110;Pessoa Jurídica;;;;;0;(21)99809-0970;MARCELA.COSTA3333@GMAIL.COM
BRASILIA;BR;70343-500;DF;CLS 104  ASA SUL A LJ 3 E 9;70343-500;0003993022;;0812431800191;ISENTO;;00000000000000000000;;DF;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABMIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkuiyMAB;;;;FM ALIMENTACAO LTDA;;;;ASA SUL;;A LJ 3 E 9;MERCADO DEL PUERTO;;CLS 104;12 DEZEMBRO;BRASILIA;BR;;45755484000117;;10428889.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;BRASILIA;BR;70343-500;DF;CLS 104  ASA SUL A LJ 3 E 9;Pessoa Jurídica;;;;;0;(61)98143-4581;MERCADODELPUERTOBSB@GMAIL.COM
RIO DE JANEIRO;BR;22760-401;RJ;AV GEREMARIO DANTAS 1400 FREGUESIA UNICO SS108;22760-401;0003960148;;ISENTO;ISENTO;;00000000000000000000;;RJ;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjAB8IAN;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000Bkuk9MAB;0052A000007uwcyQAA;0052A000007uwcyQAA;;;;;;FREGUESIA;;UNICO SS108;FLAVIO PAES LEME NEGREIRO;;AV GEREMARIO DANTAS;08 AGOSTO;RIO DE JANEIRO;BR;;04253360777;1400;10404501.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;RIO DE JANEIRO;BR;22760-401;RJ;AV GEREMARIO DANTAS 1400 FREGUESIA UNICO SS108;Pessoa Física;;;;;0;(21)97964-6665;FPAESLEMEN@GMAIL.COM
UBERLANDIA;BR;38411-159;MG;AVENIDA DOS VINHEDOS 71 MORADA DA COLINA UNICO LJ 215;38411-159;0003990950;;42307930086;ISENTO;;00000000000000000000;;MG;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABEIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkujWMAR;005F0000007fBn0IAE;005F0000007fBn0IAE;;RESTAURANTE HAVAIANO LOHA POKE LTDA;;;;MORADA DA COLINA;;UNICO LJ 215;LOHA POKE;;AVENIDA DOS VINHEDOS;12 DEZEMBRO;UBERLANDIA;BR;;44701627000145;71;10427394.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;UBERLANDIA;BR;38411-159;MG;AVENIDA DOS VINHEDOS 71 MORADA DA COLINA UNICO LJ 215;Pessoa Jurídica;;;;;0;(34)99808-5533;LO.ALVARENGA@HOTMAIL.COM
PETROPOLIS;BR;25730-731;RJ;ESTRADA UNIAO E INDUSTRIA 10035 ITAIPAVA UNICO LOJA 110;25730-731;0001290024;;78862785;ISENTO;;00000000000000000000;;RJ;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjAB8IAN;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000Bkuk9MAB;0052A000007utw2QAA;0052A000007utw2QAA;;LIBERTINO BAR E RESTAURANTE LTDA -;;;;ITAIPAVA;;UNICO LOJA 110;LIBERTINO BAR E RESTAURANTE LTDA -;;ESTRADA UNIAO E INDUSTRIA;;PETROPOLIS;BR;;10970257000120;10035;65631.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;PETROPOLIS;BR;25730-731;RJ;ESTRADA UNIAO E INDUSTRIA 10035 ITAIPAVA UNICO LOJA 110;Pessoa Jurídica;SUCESSÃO (TROCA TITULARIDADE);SUCEDIDO;;;0.067;(24)22225-5366;CONTATO@LIBERTINOCAFE.COM.BR
BRASILIA;BR;72145-450;DF;QNM 34 AREA ESPECIAL 1  TAGUATINGA NORTE 351B;72145-450;0003873557;;ISENTO;ISENTO;;00000000000000000000;;DF;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABMIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkuiyMAB;;005F0000007fMveIAE;;;;;;TAGUATINGA NORTE;;351B;CARLOS MAGNO MENDONCA DE SA ARAUJO;;QNM 34 AREA ESPECIAL 1;08 AGOSTO;BRASILIA;BR;;02914764499;;343766.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;BRASILIA;BR;72145-450;DF;QNM 34 AREA ESPECIAL 1  TAGUATINGA NORTE 351B;Pessoa Física;;;;;0;(61)98103-6398;CARLOS.MAGNO@GMAIL.COM
BRASILIA;BR;72145-450;DF;QNM 34 AREA ESPECIAL 1  TAGUATINGA NORTE 351B;72145-450;0003873557;;ISENTO;ISENTO;;00000000000000000000;;DF;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABMIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkuiyMAB;;005F0000007fMveIAE;;;;;;TAGUATINGA NORTE;;351B;CARLOS MAGNO MENDONCA DE SA ARAUJO;;QNM 34 AREA ESPECIAL 1;08 AGOSTO;BRASILIA;BR;;02914764499;;343766.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;BRASILIA;BR;72145-450;DF;QNM 34 AREA ESPECIAL 1  TAGUATINGA NORTE 351B;Pessoa Física;;;;;0;(61)98175-0595;CARLOS.MAGNO@GMAIL.COM
POUSO ALEGRE;BR;37556-140;MG;ROD JUSCELINO KUBITSCHEK 459 IPIRANGA 1 L90;37556-140;0003993533;;44922170014;ISENTO;;00000000000000000000;;MG;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjAB2IAN;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkukrMAB;0052A000008MroDQAS;005F0000001vkhhIAA;;SR ESPETTO POUSO ALEGRE LTDA;;;;IPIRANGA;;1 L90;SR ESPETTO POUSO ALEGRE;;ROD JUSCELINO KUBITSCHEK;01 JANEIRO;POUSO ALEGRE;BR;;44101882000157;459;10429289.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;POUSO ALEGRE;BR;37556-140;MG;ROD JUSCELINO KUBITSCHEK 459 IPIRANGA 1 L90;Pessoa Jurídica;;;;;0;(67)98455-2030;POUSOALEGRE.MG@SRESPETTO.COM.BR
RIO DE JANEIRO;BR;22763-627;RJ;AVENIDA ISABEL DOMINGUES 300 GARDENIA AZUL 5 8;22763-627;0003863571;;ISENTO;ISENTO;;00000000000000000000;;RJ;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjAB8IAN;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000Bkuk9MAB;0052A000008MokwQAC;0052A000008MokwQAC;;;;;;GARDENIA AZUL;;5 8;PAULO SERGIO GIANNINI BAIAO;;AVENIDA ISABEL DOMINGUES;07 JULHO;RIO DE JANEIRO;BR;;40591212749;300;336108.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;RIO DE JANEIRO;BR;22763-627;RJ;AVENIDA ISABEL DOMINGUES 300 GARDENIA AZUL 5 8;Pessoa Física;;;;;0;(31)99429-0025;DBAIAO@GMAIL.COM
ITAJAI;BR;88304-101;SC;RUA HEITOR LIBERATO 2150 SAO JOAO A LOJA 1;88304-101;0003873131;;ISENTO;ISENTO;;00000000000000000000;;SC;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABGIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000Bkuk2MAB;005F0000001uQPJIA2;005F0000001uQP2IAM;;;;;;SAO JOAO;;A LOJA 1;EDER SANTOS DA LUZ;;RUA HEITOR LIBERATO;08 AGOSTO;ITAJAI;BR;;01432203061;2150;343494.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;ITAJAI;BR;88304-101;SC;RUA HEITOR LIBERATO 2150 SAO JOAO A LOJA 1;Pessoa Física;;;;;0;(47)98471-6429;ISTUDIO9BCFINANCEIRO@OUTLOOK.COM
BRASILIA;BR;71930-250;DF;RUA 33 LOTE 05  SUL AGUAS CLARAS UNICO 0013;71930-250;0003991567;;0809388800105;ISENTO;;00000000000000000000;;DF;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABMIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDvwMAF;a0BA000000BkuiyMAB;0052A000009xwzgQAA;;;ANCORA BAR E RESTAURANTE LTDA;;;;SUL AGUAS CLARAS;;UNICO 0013;YASU;;RUA 33 LOTE 05;12 DEZEMBRO;BRASILIA;BR;;44085168000112;;10427836.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;BRASILIA;BR;71930-250;DF;RUA 33 LOTE 05  SUL AGUAS CLARAS UNICO 0013;Pessoa Jurídica;;;;;0;(61)99349-0787;RODRIGO.YASUSUSHI@GMAIL.COM
GUARULHOS;BR;07034-000;SP;RODOVIA PRESIDENTE DUTRA KM 222.3  PORTO DA IGREJA UNICO LOJA A05;07034-000;0003995952;;796901232117;ISENTO;;00000000000000000000;;SP;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjAB0IAN;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000Bkul4MAB;0052A000008rC8aQAE;005F0000006F0eaIAC;;FAMI COMERCIO DE ALIMENTOS LTDA;;;;PORTO DA IGREJA;;UNICO LOJA A05;FAMI COMERCIO DE ALIMENTOS LTDA;;RODOVIA PRESIDENTE DUTRA KM 222.3;01 JANEIRO;GUARULHOS;BR;;33640203000100;;10430906.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;GUARULHOS;BR;07034-000;SP;RODOVIA PRESIDENTE DUTRA KM 222.3  PORTO DA IGREJA UNICO LOJA A05;Pessoa Jurídica;;;;;0;(11)99972-4181;FELIPPF@LIVE.COM
RIO DE JANEIRO;BR;22763-627;RJ;AVENIDA ISABEL DOMINGUES 300 GARDENIA AZUL 5 5;22763-627;0003991196;;12674260;ISENTO;;00000000000000000000;;RJ;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjAB8IAN;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000Bkuk9MAB;0052A000008MokwQAC;0052A000008MokwQAC;;IAB SUCOS E LANCHES LTDA;;;;GARDENIA AZUL;;5 5;BIG BI SUCOS E LANCHES;;AVENIDA ISABEL DOMINGUES;12 DEZEMBRO;RIO DE JANEIRO;BR;;48629580000107;300;10427568.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;RIO DE JANEIRO;BR;22763-627;RJ;AVENIDA ISABEL DOMINGUES 300 GARDENIA AZUL 5 5;Pessoa Jurídica;;;;;0;(21)98187-3626;BIGBI.ANDRE@GMAIL.COM
GUARAPARI;BR;29200-430;ES;AVENIDA DAVINO MATTOS  CENTRO UNICO LOJA 33;29200-430;0003991476;;082400334;ISENTO;;00000000000000000000;;ES;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABAIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkukgMAB;005A0000001bef8IAA;0052A000009xksxQAA;;IZAIAS E PAULO RESTAURANTE LTDA;;;;CENTRO;;UNICO LOJA 33;SORVETERIA SAUDE;;AVENIDA DAVINO MATTOS;12 DEZEMBRO;GUARAPARI;BR;;07611198000199;;10427781.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;GUARAPARI;BR;29200-430;ES;AVENIDA DAVINO MATTOS  CENTRO UNICO LOJA 33;Pessoa Jurídica;;;;;0;(27)99649-2086;FRANGUINHOSAUDE@GMAIL.COM
RIO DE JANEIRO;BR;22763-627;RJ;AVENIDA ISABEL DOMINGUES 300 GARDENIA AZUL 5 36;22763-627;0003989801;;12644140;ISENTO;;00000000000000000000;;RJ;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjAB8IAN;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000Bkuk9MAB;0052A000008MokwQAC;0052A000008MokwQAC;;MAN ALIMENTOS LTDA;;;;GARDENIA AZUL;;5 36;UP LANCHES;;AVENIDA ISABEL DOMINGUES;12 DEZEMBRO;RIO DE JANEIRO;BR;;48336280000130;300;10426528.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;RIO DE JANEIRO;BR;22763-627;RJ;AVENIDA ISABEL DOMINGUES 300 GARDENIA AZUL 5 36;Pessoa Jurídica;;;;;0;(21)99159-5935;FVIANNARJ@GMAIL.COM
JUIZ DE FORA;BR;36025-160;MG;RUA MORAIS E CASTRO 300 ALTOS DOS PASSOS UNICO LOJA 106;36025-160;0003919101;;ISENTO;ISENTO;;00000000000000000000;;MG;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABCIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkukEMAR;005F0000003WsygIAC;005F0000006lT12IAE;;;;;;ALTOS DOS PASSOS;;UNICO LOJA 106;GUSTAVO DE BARROS BATISTA;;RUA MORAIS E CASTRO;03 MARÇO;JUIZ DE FORA;BR;;09887037699;300;10377287.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;JUIZ DE FORA;BR;36025-160;MG;RUA MORAIS E CASTRO 300 ALTOS DOS PASSOS UNICO LOJA 106;Pessoa Física;;;;;0;(31)98711-2575;GUSTAVO.BATISTA@GRUPOGUIMA.COM.BR
BRASILIA;BR;70834-530;DF;CLN 402 BL C  ASA NORTE A 19 20 23;70834-530;0003991098;;0816968900183;ISENTO;;00000000000000000000;;DF;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABMIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkuiyMAB;;005F0000001vqBbIAI;;TGL BAR E TABACARIA LTDA;;;;ASA NORTE;;A 19 20 23;SPOT BAR E BURGUERS;;CLN 402 BL C;12 DEZEMBRO;BRASILIA;BR;;48176574000141;;10427502.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;BRASILIA;BR;70834-530;DF;CLN 402 BL C  ASA NORTE A 19 20 23;Pessoa Jurídica;;;;;0;(61)98111-1998;SPOTBAR.CONTATO@GMAIL.COM
BRASILIA;BR;70237-500;DF;CLS 403  ASA SUL D 0028;70237-500;0003996244;;0816355100107;ISENTO;;00000000000000000000;;DF;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABMIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDvoMAF;a0BA000000BkuiyMAB;;005F0000005sxotIAA;;MEIRE REIS BEAUTY LTDA;;;;ASA SUL;;D 0028;STUDIO MEIRE REIS;;CLS 403;01 JANEIRO;BRASILIA;BR;;47837512000170;;10431113.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;BRASILIA;BR;70237-500;DF;CLS 403  ASA SUL D 0028;Pessoa Jurídica;;;;;0;(61)99914-2854;MEIREREIS.ADM@GMAIL.COM
RIO DE JANEIRO;BR;22763-627;RJ;AVENIDA ISABEL DOMINGUES 300 GARDENIA AZUL 5 11;22763-627;0003993300;;12718144;ISENTO;;00000000000000000000;;RJ;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjAB8IAN;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000Bkuk9MAB;0052A000008MokwQAC;0052A000008MokwQAC;;TREVITTA COMERCIO DE PROD ALIMENTIC;;;;GARDENIA AZUL;;5 11;TREVITTA FORNERIA FIT;;AVENIDA ISABEL DOMINGUES;01 JANEIRO;RIO DE JANEIRO;BR;;48597787000147;300;10429104.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;RIO DE JANEIRO;BR;22763-627;RJ;AVENIDA ISABEL DOMINGUES 300 GARDENIA AZUL 5 11;Pessoa Jurídica;;;;;0;(21)97180-5515;DEBORABRICHI@GMAIL.COM
BELO HORIZONTE;BR;30455-610;MG;AVENIDA PROFESSOR MARIO WERNECK 434 ESTORIL PAVMT 2 LJ 02;30455-610;0003991587;;30987110020;ISENTO;;00000000000000000000;;MG;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABCIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkujYMAR;0052A000009xaLPQAY;005F0000002T0RiIAK;;ROK FOOD DELIVERY LTDA;;;;ESTORIL;;PAVMT 2 LJ 02;ROK FOOD DELIVERY LTDA;;AVENIDA PROFESSOR MARIO WERNECK;12 DEZEMBRO;BELO HORIZONTE;BR;;65698540000136;434;10427849.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;BELO HORIZONTE;BR;30455-610;MG;AVENIDA PROFESSOR MARIO WERNECK 434 ESTORIL PAVMT 2 LJ 02;Pessoa Jurídica;;;;;0;(31)99954-8343;PHILIPPE@ROKKON.COM.BR
SALVADOR;BR;40024-081;BA;AVENIDA JOSE JOAQUIM SEABRA 151 BARROQUINHA A LJ 01;40024-081;0003830782;;ISENTO;ISENTO;;00000000000000000000;;BA;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABUIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkujLMAR;0051Y00000AZ3dbQAD;0051Y00000BejWHQAZ;;;;;;BARROQUINHA;;A LJ 01;JUCIARA CONCEICAO MATO GROSSO;;AVENIDA JOSE JOAQUIM SEABRA;03 MARÇO;SALVADOR;BR;;04824243548;151;312066.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;SALVADOR;BR;40024-081;BA;AVENIDA JOSE JOAQUIM SEABRA 151 BARROQUINHA A LJ 01;Pessoa Física;;;;;0;(71)98825-7516;JUSYY2011@HOTMAIL.COM
ARMACAO DOS BUZIOS;BR;28950-000;RJ;EST JOSE BENTO RIBEIRO DANTAS 2900 RASA 0005;28950-000;0003993529;;78377968;ISENTO;;00000000000000000000;;RJ;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjAB8IAN;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkukZMAR;005F00000028axmIAA;0051Y00000AZBjcQAH;;CAPITU IN BUZIOS BAR REST E PIZZARI;;;;RASA;;0005;FARIAS RISTORANTE BAR;;EST JOSE BENTO RIBEIRO DANTAS;12 DEZEMBRO;ARMACAO DOS BUZIOS;BR;;04320759000102;2900;10429285.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;ARMACAO DOS BUZIOS;BR;28950-000;RJ;EST JOSE BENTO RIBEIRO DANTAS 2900 RASA 0005;Pessoa Jurídica;;;;;0;(22)99890-6284;TININHAFARIAS12@GMAIL.COM
CATALAO;BR;75709-140;GO;R JOCELIM GOMES PIRES 2300 NOSSA SENHORA DE FATIMA UNICO LOJA 116;75709-140;0003991083;;106930516;ISENTO;;00000000000000000000;;GO;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABEIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkujWMAR;005F0000001d3IjIAI;005F0000007fBn0IAE;;KATANAS ALIMENTOS LTDA;;;;NOSSA SENHORA DE FATIMA;;UNICO LOJA 116;KATANAS ALIMENTOS;;R JOCELIM GOMES PIRES;12 DEZEMBRO;CATALAO;BR;;27676621000146;2300;10427496.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;CATALAO;BR;75709-140;GO;R JOCELIM GOMES PIRES 2300 NOSSA SENHORA DE FATIMA UNICO LOJA 116;Pessoa Jurídica;;;;;0;(64)98151-2277;KATANAS.SUSHI.YAKI@GMAIL.COM
BRASILIA;BR;71215-100;DF;SGCV SUL LOTE 22  ZONA INDUSTRIAL GUARA UNICO LJ 151/152;71215-100;0003995230;;0774591000316;ISENTO;;00000000000000000000;;DF;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABMIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkuiyMAB;0052A000009xwzgQAA;005F0000001vqBbIAI;;CHICAGO PRIME PARRILLA LTDA;;;;ZONA INDUSTRIAL GUARA;;UNICO LJ 151/152;CHICAGO PRIME PARRILLA LTDA;;SGCV SUL LOTE 22;01 JANEIRO;BRASILIA;BR;;23792176000390;;10430350.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;BRASILIA;BR;71215-100;DF;SGCV SUL LOTE 22  ZONA INDUSTRIAL GUARA UNICO LJ 151/152;Pessoa Jurídica;;;;;0;(61)99315-8021;BSB.ANACAROLINA@GMAIL.COM
RIO DE JANEIRO;BR;22763-627;RJ;AVENIDA ISABEL DOMINGUES 300 GARDENIA AZUL 5 1;22763-627;0003857183;;ISENTO;ISENTO;;00000000000000000000;;RJ;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjAB8IAN;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000Bkuk9MAB;0052A000007uwcyQAA;0052A000009JdcOQAS;;;;;;GARDENIA AZUL;;5 1;PEDRO HENRIQUE DE ANDRADE;;AVENIDA ISABEL DOMINGUES;06 JUNHO;RIO DE JANEIRO;BR;;09789193602;300;331574.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;RIO DE JANEIRO;BR;22763-627;RJ;AVENIDA ISABEL DOMINGUES 300 GARDENIA AZUL 5 1;Pessoa Física;;;;;0;(31)99429-0025;PEDROANDRADE@AMERICANBURGERDELIVERY.COM
RIO DE JANEIRO;BR;22763-627;RJ;AVENIDA ISABEL DOMINGUES 300 GARDENIA AZUL 5 10;22763-627;0003991201;;ISENTO;ISENTO;;00000000000000000000;;RJ;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjAB8IAN;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000Bkuk9MAB;0052A000008MokwQAC;0052A000008MokwQAC;;40216745 FABIANA HOTTUM GUEDES;;;;GARDENIA AZUL;;5 10;40216745 FABIANA HOTTUM GUEDES;;AVENIDA ISABEL DOMINGUES;12 DEZEMBRO;RIO DE JANEIRO;BR;;40216745000107;300;10427571.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;RIO DE JANEIRO;BR;22763-627;RJ;AVENIDA ISABEL DOMINGUES 300 GARDENIA AZUL 5 10;Pessoa Jurídica;;;;;0;(21)98633-0730;FHOTTUM@HOTMAIL.COM
SALVADOR;BR;40024-081;BA;AVENIDA JOSE JOAQUIM SEABRA 151 BARROQUINHA A LJ 04;40024-081;0003833249;;ISENTO;ISENTO;;00000000000000000000;;BA;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABUIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkujLMAR;0051Y00000AZ3dbQAD;0051Y00000BejWHQAZ;;;;;;BARROQUINHA;;A LJ 04;ATEMILSON BISPO DOS SANTOS;;AVENIDA JOSE JOAQUIM SEABRA;03 MARÇO;SALVADOR;BR;;60275634515;151;313851.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;SALVADOR;BR;40024-081;BA;AVENIDA JOSE JOAQUIM SEABRA 151 BARROQUINHA A LJ 04;Pessoa Física;;;;;0;(73)98847-6001;DEADUDA.SILVA@GMAIL.COM
BELO HORIZONTE;BR;30111-050;MG;PRACA RIO BRANCO 100 CENTRO LJ 310;30111-050;0003922399;;ISENTO;ISENTO;;00000000000000000000;;MG;;;Ativo;false;false;false;false;false;false;false;false;false;false;false;false;a0nF000000P34isIAB;a0xF000001OjABCIA3;a15F0000003QQaaIAG;a17F000000R17A6IAJ;a0CF000000OdDwCMAV;a0BA000000BkujYMAR;005F0000001d3IoIAI;005F0000001d3IoIAI;;;;;;CENTRO;;LJ 310;LEONARDO SAMPAIO CARDOSO;;PRACA RIO BRANCO;03 MARÇO;BELO HORIZONTE;BR;;01334431671;100;10379171.00;0121Y000001J66IQAS;a0AA0000005k9HBMAY;BELO HORIZONTE;BR;30111-050;MG;PRACA RIO BRANCO 100 CENTRO LJ 310;Pessoa Física;;;;;0;(31)99163-6254;EMPADASCENTRO@HOTMAIL.COM
